miejsce, kupon
Duży Pokój Białystok,Drugi koktajl alkoholowy -50%
Żebeerkownia Białystok,Piwo za darmo
Metro Express Bydgoszcz,Cuba libre bacardi 1+1
Twenty Bydgoszcz,Shot wódki 3 zł
Twenty Bydgoszcz,Shot wódki 3 zł
Twenty Bydgoszcz,Kamikaze 15 zł
Twenty Bydgoszcz,Drink 8 zł
By Clouds Kraków,2 piwa lub set wódki gratis
By Clouds Kraków,2 piwa lub set wódki gratis
Bania Luka Kraków,Dzban piwa 1,5l za 21 zł
Efemeria Kraków,-20% na piwo
Pub Biblioteka Łódź,2x piwo za 5zł
Frame Łódź,25 zł godzina gry w bilard i 0,5l piwa z nalewaka
Presto Piotrkowska 27 Łódź,Duże piwo gratis
Strefa Łódź,25 zł godzina gry w bilard i 0,5l piwa z nalewaka
Tutej By Liszczynski Poznań,-50% na koktajl lub drink
Tutej By Liszczynski Poznań,-50% na koktajl lub drink
Deja Vu Pub Poznań,2 piwa żywiec w cenie 1
Pyrabar Poznań,Karafka szpyrycera w cenie szklanki
Pod Filarem Poznań,6 shotów kamikaze gratis
Pers Toruń,-20% na piwo
Kredens Toruń,Piwo studenckie 4 pln
Bajka Disco Club Toruń,Bilet wstępu + welcome drink = 10 zł
Kafefajka Toruń,Piwo 7 zł
Kredens Toruń,Drink studencki 6 pln
Cubano Club Toruń,Bilet wstępu + welcome drink = 10 zł
Mistwood Toruń,Special drink za 15 zł
Cubano Club Toruń,Bilet wstępu + welcome drink = 10 zł
Wypij Z Gara Toruń,1 piwo zatecky gratis
Hex Toruń,4 x shot kamikaze 12 zł
Hex Toruń,4 x shot kamikaze 12 zł
Hex Toruń,3 x drink 20 zł
Bajka Toruń,Bilet wstępu + welcome drink = 10 zł
Kafefajka Warszawa,Piwo gratis
Kafefajka Warszawa,Piwo 7 zł
Multipub Pod Grubą Kaśką Warszawa,Piwo 0,5l 7zł
