miejsce, kupon
Duży Pokój Białystok,Drugi koktajl alkoholowy -50%
Rokoko Białystok,4 shoty za 10 zł
Żebeerkownia Białystok,Piwo za darmo
Twenty Bydgoszcz,Shot wódki 3 zł
Twenty Bydgoszcz,Shot wódki 3 zł
Metro Express Bydgoszcz,Cuba libre bacardi 1+1
Efemeria Kraków,-20% na piwo
Bania Luka Kraków,Dzban piwa 1,5l za 21 zł
By Clouds Kraków,2 piwa lub set wódki gratis
By Clouds Kraków,2 piwa lub set wódki gratis
Pub Biblioteka Łódź,2x piwo za 5zł
Frame Łódź,25 zł godzina gry w bilard i 0,5l piwa z nalewaka
Strefa Łódź,25 zł godzina gry w bilard i 0,5l piwa z nalewaka
Presto Piotrkowska 27 Łódź,Duże piwo gratis
Gastrofaza Poznań,4 obłędne shoty gratis
Deja Vu Pub Poznań,2 piwa żywiec w cenie 1
Tutej By Liszczynski Poznań,-50% na koktajl lub drink
Pyrabar Poznań,Karafka szpyrycera w cenie szklanki
Wypij Z Gara Toruń,1 piwo zatecky gratis
Kafefajka Toruń,Piwo 7 zł
Hex Toruń,4 x shot kamikaze 12 zł
Pers Toruń,-20% na piwo
Kredens Toruń,Piwo studenckie 4 pln
Kafefajka Warszawa,Piwo gratis
Multipub Pod Grubą Kaśką Warszawa,Piwo 0,5l 7zł
Kafefajka Warszawa,Piwo 7 zł
