miejsce, kupon
Tu I Teraz Białystok,-20% na pizzę lub burgera
Burger Strefa Bydgoszcz,6 zł zniżki
Bobby Burger Bydgoszcz,Lemoniada lub frytki do burgera za 4 zł
Burger Park Bydgoszcz,-20% na zestaw z powiększonym burgerem
Bobby Burger Bydgoszcz,Burger classic + frytki + lemoniada minus 15 zł
Bobby Burger Bydgoszcz,Piwo bydgoskie 1+1 gratis
Burger Park Bydgoszcz,-10 % na całe zamówienie
Bobby Burger Bydgoszcz,Burger classic + onion rings + lemoniada minus 10 zł
Burger Strefa Bydgoszcz,20% zniżki
Max Premium Burgers Kraków,Halloumi burger 13 zł
Max Premium Burgers Kraków,Frisco burger 12 zł
Sticky Fingers Kraków,Drugi burger -50%
Max Premium Burgers Poznań,Halloumi burger 13 zł
Pan Z Brodą Poznań,-10% na dowolnego burgera
Max Premium Burgers Poznań,Frisco burger 12 zł
Max Premium Burgers Trójmiasto,Frisco burger 12 zł
Max Premium Burgers Trójmiasto,Halloumi burger 13 zł
Max Premium Burgers Warszawa,Frisco burger 12 zł
Max Premium Burgers Warszawa,Halloumi burger 13 zł
Max Premium Burgers Wrocław,Frisco burger 12 zł
Max Premium Burgers Wrocław,Halloumi burger 13 zł
