place, coupon
Kocie Cafe Białystok,Dowolny napój -50%
Naleśniki Jak Smok Białystok,Rabat 15%
Zachodnia Kawiarnia Białystok,Szósta kawa gratis
Nocne Pieczenie Białystok,Ciastko gratis
Zachodnia Kawiarnia Białystok,Kawa gratis
Cofix Białystok,-20% na kawy
Duży Pokój Białystok,Kawa -50%
Kocie Cafe Białystok,Gorąca czekolada z dodatkami 10 zł
Kocie Cafe Białystok,2 kawy w cenie 1
Dobra Pączkarnia Bydgoszcz,Trzeci pączek gratis
Podwałek Bydgoszcz,2 kołacze w cenie 1
Receptura Bydgoszcz,Kawa/herbata do 16 zł za50%
Podwałek Bydgoszcz,50% zniżki na drugiego kołacza standard
Receptura Bydgoszcz,Ciasto + kawa/herbata do 13zł gratis*
Cofix Lublin,-20% na kawy
Sea Of Sweets Łódź,-11% na wszystkie żelki
Zielona Cdk Łódź,Kawa gratis
Cafe Sorrir Poznań,Cappuccino lub latte gratis
Tashi Momo Poznań,Napój gratis*
Ice Scream Poznań,Śmietanka gratis!
Młyńczyk Poznań,Darmowa kawa do dania
Oldskulowa Cafe Poznań,20% zniżki
Hypno Truck Poznań,Napój gratis
Bubble Tea Toruń,Dowolny napój 0,5l 12 zł
Bubble Tea Toruń,Bubble tea 0,5l 12 zł
Paprotka Cafe Warszawa,2 dowolne kawy w cenie 1
Nalody Warszawa,Zestaw kawa + ciasto 18 zł
Tianfun Warszawa,Druga herbata za darmo
Nalody Warszawa,2 zł rabatu na porcję lodów
Cofix Warszawa,-20% na kawy
Nalody Warszawa,Duża kawa w cenie małej
Fc Cafe Wrocław,15% zniżki na kawę
Fc Naleśniki Wrocław,15% zniżki na naleśniki
