miejsce, kupon
Shrimp House Białystok,Lemoniada lub frytki za 1 zł
Nocne Pieczenie Białystok,Śniadanie gratis
Mama Thai Białystok,-10% na całe zamówienie
Ikea Kraków,Klopsiki + zupa za 10 zł
Makarun Kraków,Powiększona porcja -15%
Well Done Kraków,10% zniżki na całe menu
Pomylone Gary Lublin,-20% na całe menu
Parownia Dim Sum Bar Lublin,20% rabatu
Gołe Baby Poznań,200g frytek gratis
Thanh Ha Poznań,-10% na całe menu
Dragon Dim Sum Poznań,-50% na drugi makaron z woka
Kwiaciarnia Vege Bistro Poznań,Drugi zestaw lunch -50%
Talerzyki Poznań,-10% na całe menu
Kura Warzyw Poznań,20% zniżki na zestaw kebap, lemoniada i frytki
La Pasta Fresca Poznań,Makaron własnego wyrobu gratis*
Pyrabar Poznań,Dwa posiłki za pół ceny
Krowarzywa Warszawa,Lemoniada gratis
