miejsce, kupon
Cityfit Białystok,Darmowa wejściówka
Cityfit Bydgoszcz,Darmowa wejściówka
Infinity Fitness Kraków,Karnet open w cenie 79 zł
Infinity Fitness Kraków,8 treningów personalnych w cenie 799 zł
Energym Kraków,1zł opłaty wpisowej
Energym Kraków,-10% na pierwszy karnet studencki
Cityfit Kraków,Darmowa wejściówka
Saturn Fitness Łódź,10 dni za darmo
Saturn Fitness Łódź,2 m-ce za 49,90 zł
Cityfit Poznań,Darmowa wejściówka
Cityfit Toruń,Darmowa wejściówka
Cityfit Trójmiasto,Darmowa wejściówka
Cityfit Warszawa,Darmowa wejściówka
Cityfit Wrocław,Darmowa wejściówka
