miejsce, kupon
Idream Białystok,Mac i ipad do -6%
Profilingua Białystok,Kurs językowy -1000 zł
Ij Studio Fryzur Białystok,40% rabatu
Osk Szał Białystok,-100 zł na kurs prawa jazdy
Massey Bilard Club Bilard House Białystok,Zniżka -50%
Da Augustino Białystok,Rabat 20%
Rokoko Białystok,Wejściówka za free
Unlocked Białystok,-30 zł zniżki
Koba Białystok,1gb/s za 69,99 zł
Ij Studio Fryzur Białystok,Strzyżenie barberskie 40 zł
Koba Białystok,2 miesiące po 1 zł
Student Travel Białystok,30 zł taniej
Student Travel Bydgoszcz,30 zł taniej
Foto Panorama Bydgoszcz,10% na wszystkie usługi
Bieńkowscy Clinic Bydgoszcz,50zł rabatu
Mistrzowie Kierownicy Bydgoszcz,Rabat 50 zł 
Idream Bydgoszcz,Mac i ipad do -6%
Laser Delux Bydgoszcz,1 + 1 za 50%
Laser Delux Bydgoszcz,Drugi zabieg depilacji laserowej za 1 zł
Bieńkowscy Clinic Bydgoszcz,10% rabatu
Lulu Bistro Bydgoszcz,-15% na całe zamówienie
Student Travel Katowice,30 zł taniej
Kozioł Barbershop Katowice,15% ulgi
Coffeeshop Katowice,Zestaw za 49 zł
Student Travel Kielce,30 zł taniej
Laser Park Kraków,Zniżka od 137 do 581 zł
Kontigo Kraków,-35% na całą kategorię makijaż
Secreto Escape Room Kraków,10 zniżki na grę
Wisła Kraków Kraków,-19.06% na bilet
Czarcie Studio Kraków,-50 zł na sesję
Wild Dance Kraków,Back to school -25%
Student Travel Kraków,30 zł taniej
Czarcie Studio Kraków,-15% na sesję
By Clouds Kraków,10 zł zniżki
Idream Kraków,Mac i ipad do -6%
White&Beauty Kraków,Wybielanie zębów 189 zł
Cypis Vape Shop Lublin,20% zniżki
Cypis Vape Shop Lublin,10% na sprzęt i akcesoria
Arrakis Lublin,-20 % na naprawę
Avalon Lublin,Rabat 200 zł
Serwis Lublin,20% zniżki
Arpine Cosmetology Lublin,-20% na usługi
Vr Studio Lublin,Pierwsza godzina 10 zł
Student Travel Lublin,30 zł taniej
Pomocna Drogeria Lublin,-15%
Jump Planet Łódź,30% rabatu
White&Beauty Łódź,Wybielanie zębów 129zł
Experymentarium Łódź,-50% na drugą grę
Sharpdent.Pl Łódź,-15% zniżki
Idream Łódź,Mac i ipad do -6%
Student Travel Łódź,30 zł taniej
Jabeerwocky Łódź,-15% na wszystko
Sharpdent.Pl Łódź,-40 zł
Craft Me Out Łódź,-30 % zniżki
Student Travel Olsztyn,30 zł taniej
Estrada Poznańska Poznań,-20% na koncerty muzyczne*
Tutej By Liszczynski Poznań,-30% na shishe
Tempuraya Poznań,-25% na dowolne danie
Billaboom Poznań,2 godzina bilarda gratis
Foto Eldra Poznań,30 zł za zdjęcia do dokumentów
Osk Extraszkolenia Poznań,-200 zł od ceny kursu
Hades Poznań,1h gry -50%
Foto Eldra Poznań,Wywołanie filmu 10/15 zł
Zdajprawko.Pl Poznań,-315 zł od ceny kursu
White&Beauty Poznań,Wybielanie zębów 189 zł
Student Travel Poznań,30 zł taniej
Kino Muza Poznań,Bilet studencki za 14 zł
Szczaw & Mirabelki Poznań,Zniżka 20%
Student Travel Rzeszów,30 zł taniej
Student Travel Szczecin,30 zł taniej
Teatr Muzyczny Toruń,Drugi bilet za 1 zł
Laser Delux Toruń,1 + 1 za 50%
Serce Gruzji Toruń,-15% na wszystko
Musztarda Toruń,Rabat -10%
Miracle Beauty Toruń,20% zniżki 
Profilingua Toruń,Kurs językowy -1000 zł
Idream Toruń,Mac i ipad do -6%
Laser Delux Toruń,Drugi zabieg depilacji laserowej za 1 zł
Dom Kłódek Toruń,1 osoba gratis
Student Travel Toruń,30 zł taniej
Provocarte Toruń,-15% na pierwszy karnet
Krowarzywa Toruń,-15% na dwa kebabexy polskie
Delikatesy Mamma Mia Toruń,Focaccia barese 2 kawałek -50%
Mistwood Toruń,Shisha soft za 35 zł
Telbridge Toruń,Praca, dołącz do drużyny!
Student Travel Trójmiasto,30 zł taniej
Idream Trójmiasto,Mac i ipad do -6%
Pitstop Trójmiasto,-20% zniżki
Dar-Han Trójmiasto,Zniżka 20% na wszystkie usługi
Harmony Trójmiasto,-20%
White&Beauty Warszawa,Wybielanie zębów 189zł
Mk Bowling Warszawa,30 min gry gratis
Kontigo Warszawa,-35% na całą kategorię makijaż
Mk Bowling Warszawa,2-ga godzina kręgli gratis
Tianfun Warszawa,20% zniżki
Tepfactor Warszawa,2h gry za 79 zł
Applehome Warszawa,20% na każdą naprawę
Student Travel Warszawa,30 zł taniej
Krowarzywa Warszawa,20% taniej
White&Beauty Wrocław,Wybielanie zębów 189 zł
Easy Szkoła Jazdy Wrocław,-10% na kurs kat. b oraz b-automat
Easy Szkoła Jazdy Wrocław,-20% na jazdy doszkalające
Student Travel Wrocław,30 zł taniej
Xoxo Cosmetics Wrocław,-15 zł na usługę stylizacji paznokci
Blossome Wrocław,30% na wszystko
Xoxo Cosmetics Wrocław,-20 zł na zakupy
Optyk Na Miarę Wrocław,-20% na zakupy
