place, coupon
Rokoko Białystok,Wejściówka za free
Profilingua Białystok,Kurs językowy -1000 zł
Koba Białystok,1gb/s za 69,99 zł
Osk Szał Białystok,-100 zł na kurs prawa jazdy
Unlocked Białystok,-30 zł zniżki
Da Augustino Białystok,Rabat 20%
Student Travel Białystok,30 zł taniej
Koba Białystok,2 miesiące po 1 zł
Ij Studio Fryzur Białystok,Strzyżenie barberskie 40 zł
Idream Białystok,Mac i ipad do -6%
Ij Studio Fryzur Białystok,40% rabatu
Massey Bilard Club Bilard House Białystok,Zniżka -50%
Laser Delux Bydgoszcz,1 + 1 za 50%
Lulu Bistro Bydgoszcz,-15% na całe zamówienie
Bieńkowscy Clinic Bydgoszcz,10% rabatu
Student Travel Bydgoszcz,30 zł taniej
Bieńkowscy Clinic Bydgoszcz,50zł rabatu
Idream Bydgoszcz,Mac i ipad do -6%
Foto Panorama Bydgoszcz,10% na wszystkie usługi
Laser Delux Bydgoszcz,Drugi zabieg depilacji laserowej za 1 zł
Mistrzowie Kierownicy Bydgoszcz,Rabat 50 zł 
Student Travel Katowice,30 zł taniej
Kozioł Barbershop Katowice,15% ulgi
Coffeeshop Katowice,Zestaw za 49 zł
Student Travel Kielce,30 zł taniej
Czarcie Studio Kraków,-15% na sesję
Energym Kraków,-10% na pierwszy karnet studencki
Czarcie Studio Kraków,-50 zł na sesję
Laser Park Kraków,Zniżka od 137 do 581 zł
Student Travel Kraków,30 zł taniej
By Clouds Kraków,10 zł zniżki
Wisła Kraków Kraków,-19.06% na bilet
Secreto Escape Room Kraków,10 zniżki na grę
Idream Kraków,Mac i ipad do -6%
Makarun Kraków,Powiększona porcja -15%
Kontigo Kraków,-35% na całą kategorię makijaż
Energym Kraków,1zł opłaty wpisowej
White&Beauty Kraków,Wybielanie zębów 189 zł
Wild Dance Kraków,Back to school -25%
Arpine Cosmetology Lublin,-20% na usługi
Cypis Vape Shop Lublin,10% na sprzęt i akcesoria
Avalon Lublin,Rabat 200 zł
Vr Studio Lublin,Pierwsza godzina 10 zł
Serwis Lublin,20% zniżki
Pomocna Drogeria Lublin,-15%
Cypis Vape Shop Lublin,20% zniżki
Student Travel Lublin,30 zł taniej
Arrakis Lublin,-20 % na naprawę
Experymentarium Łódź,-50% na drugą grę
Craft Me Out Łódź,-30 % zniżki
Idream Łódź,Mac i ipad do -6%
White&Beauty Łódź,Wybielanie zębów 129zł
Student Travel Łódź,30 zł taniej
Jump Planet Łódź,30% rabatu
Jabeerwocky Łódź,-15% na wszystko
Sharpdent.Pl Łódź,-40 zł
Around The Coffee Łódź,15% rabatu
Sharpdent.Pl Łódź,-15% zniżki
Student Travel Olsztyn,30 zł taniej
Foto Eldra Poznań,Wywołanie filmu 10/15 zł
Szczaw & Mirabelki Poznań,Zniżka 20%
Tutej By Liszczynski Poznań,-30% na shishe
White&Beauty Poznań,Wybielanie zębów 189 zł
Tempuraya Poznań,-25% na dowolne danie
Kino Muza Poznań,Bilet studencki za 14 zł
Billaboom Poznań,2 godzina bilarda gratis
Pod Filarem Poznań,2 jegerbomby gratis
Student Travel Poznań,30 zł taniej
Foto Eldra Poznań,30 zł za zdjęcia do dokumentów
Estrada Poznańska Poznań,-20% na koncerty muzyczne*
Hades Poznań,1h gry -50%
Osk Extraszkolenia Poznań,-200 zł od ceny kursu
Zdajprawko.Pl Poznań,-315 zł od ceny kursu
Student Travel Rzeszów,30 zł taniej
Student Travel Szczecin,30 zł taniej
Serce Gruzji Toruń,-15% na wszystko
Musztarda Toruń,Rabat -10%
Telbridge Toruń,Praca, dołącz do drużyny!
Miracle Beauty Toruń,20% zniżki 
Profilingua Toruń,Kurs językowy -1000 zł
Teatr Muzyczny Toruń,Drugi bilet za 1 zł
Laser Delux Toruń,1 + 1 za 50%
Student Travel Toruń,30 zł taniej
Dom Kłódek Toruń,1 osoba gratis
Laser Delux Toruń,Drugi zabieg depilacji laserowej za 1 zł
Provocarte Toruń,-15% na pierwszy karnet
Mistwood Toruń,Shisha soft za 35 zł
Krowarzywa Toruń,-15% na dwa kebabexy polskie
Idream Toruń,Mac i ipad do -6%
Delikatesy Mamma Mia Toruń,Focaccia barese 2 kawałek -50%
Pitstop Trójmiasto,-20% zniżki
Student Travel Trójmiasto,30 zł taniej
Harmony Trójmiasto,-20%
Dar-Han Trójmiasto,Zniżka 20% na wszystkie usługi
Idream Trójmiasto,Mac i ipad do -6%
Tianfun Warszawa,20% zniżki
Tepfactor Warszawa,2h gry za 79 zł
Krowarzywa Warszawa,20% taniej
Mk Bowling Warszawa,30 min gry gratis
Applehome Warszawa,20% na każdą naprawę
Kontigo Warszawa,-35% na całą kategorię makijaż
Student Travel Warszawa,30 zł taniej
Mk Bowling Warszawa,2-ga godzina kręgli gratis
White&Beauty Warszawa,Wybielanie zębów 189zł
Easy Szkoła Jazdy Wrocław,-10% na kurs kat. b oraz b-automat
Xoxo Cosmetics Wrocław,-15 zł na usługę stylizacji paznokci
Student Travel Wrocław,30 zł taniej
Optyk Na Miarę Wrocław,-20% na zakupy
Xoxo Cosmetics Wrocław,-20 zł na zakupy
White&Beauty Wrocław,Wybielanie zębów 189 zł
Easy Szkoła Jazdy Wrocław,-20% na jazdy doszkalające
Blossome Wrocław,30% na wszystko
