miejsce, kupon
Zachodnia Kawiarnia Białystok,Szósta kawa gratis
Kocie Cafe Białystok,Dowolny napój -50%
Duży Pokój Białystok,Kawa -50%
Naleśniki Jak Smok Białystok,Rabat 15%
Kocie Cafe Białystok,Gorąca czekolada z dodatkami 10 zł
Kocie Cafe Białystok,2 kawy w cenie 1
Zachodnia Kawiarnia Białystok,Kawa gratis
Cofix Białystok,-20% na kawy
Nocne Pieczenie Białystok,Ciastko gratis
Podwałek Bydgoszcz,50% zniżki na drugiego kołacza standard
Podwałek Bydgoszcz,2 kołacze w cenie 1
Dobra Pączkarnia Bydgoszcz,Trzeci pączek gratis
Receptura Bydgoszcz,Ciasto + kawa/herbata do 13zł gratis*
Receptura Bydgoszcz,Kawa/herbata do 16 zł za50%
Cofix Lublin,-20% na kawy
Sea Of Sweets Łódź,-11% na wszystkie żelki
Zielona Cdk Łódź,Kawa gratis
Around The Coffee Łódź,15% rabatu
Ice Scream Poznań,Śmietanka gratis!
Młyńczyk Poznań,Darmowa kawa do dania
Tashi Momo Poznań,Napój gratis*
Oldskulowa Cafe Poznań,20% zniżki
Hypno Truck Poznań,Napój gratis
Cafe Sorrir Poznań,Cappuccino lub latte gratis
Bubble Tea Toruń,Bubble tea 0,5l 12 zł
Bubble Tea Toruń,Dowolny napój 0,5l 12 zł
Nalody Warszawa,2 zł rabatu na porcję lodów
Nalody Warszawa,Duża kawa w cenie małej
Tianfun Warszawa,Druga herbata za darmo
Nalody Warszawa,Zestaw kawa + ciasto 18 zł
Paprotka Cafe Warszawa,2 dowolne kawy w cenie 1
Cofix Warszawa,-20% na kawy
Fc Cafe Wrocław,15% zniżki na kawę
Fc Naleśniki Wrocław,15% zniżki na naleśniki
