miejsce, kupon
Shrimp House Białystok,Lemoniada lub frytki za 1 zł
Shrimp House Białystok,Lemoniada lub frytki za 1 zł
Pablo Kebab Białystok,Tortilla pablo + piwo 20 zł
Nocne Pieczenie Białystok,Ciastko gratis
Kocie Cafe Białystok,2 kawy w cenie 1
Kocie Cafe Białystok,Gorąca czekolada z dodatkami 10 zł
Kocie Cafe Białystok,Dowolny napój -50%
Naleśniki Jak Smok Białystok,Rabat 15%
Podwałek Bydgoszcz,50% zniżki na drugiego kołacza standard
Burger Strefa Bydgoszcz,6 zł zniżki
Bobby Burger Bydgoszcz,Lemoniada lub frytki do burgera za 4 zł
Burger Park Bydgoszcz,-20% na zestaw z powiększonym burgerem
Bobby Burger Bydgoszcz,Burger classic + frytki + lemoniada minus 15 zł
Bobby Burger Bydgoszcz,Piwo bydgoskie 1+1 gratis
Burger Park Bydgoszcz,-10 % na całe zamówienie
Lulu Bistro Bydgoszcz,-15% na całe zamówienie
Bobby Burger Bydgoszcz,Burger classic + onion rings + lemoniada minus 10 zł
Burger Strefa Bydgoszcz,20% zniżki
Lulu Bistro Bydgoszcz,Kieliszek prosecco za 10 zł
Pizza Babilon Kraków,5 zł taniej 
Max Premium Burgers Kraków,Halloumi burger 13 zł
Max Premium Burgers Kraków,Frisco burger 12 zł
Maxi Pizza Lublin,Dracula 39,99 zł
Maxi Pizza Lublin,Druga pizza 9,99 zł
Pizza Taxi Poznań,Coca cola 1l gratis
Kwiaciarnia Vege Bistro Poznań,Drugi zestaw lunch -50%
Max Premium Burgers Poznań,Halloumi burger 13 zł
Stodoła Kebab Poznań,Druga bułka 50% taniej
Pizza Taxi Poznań,Druga pizza -50%
Stodoła Kebab Poznań,Drugie rollo 50% taniej
Kura Warzyw Poznań,20% zniżki na zestaw kebap, lemoniada i frytki
Kura Warzyw Poznań,20% zniżki na zestaw kebap, lemoniada i frytki
Oldskulowa Cafe Poznań,20% zniżki
Gołe Baby Poznań,200g frytek gratis
Sevi Kebab Poznań,2+1 piwo lane gratis
Stodoła Kebab Poznań,Drugi box 50% taniej
Stodoła Kebab Poznań,Drugie piwo 50% taniej
Cafe Sorrir Poznań,Cappuccino lub latte gratis
Max Premium Burgers Poznań,Frisco burger 12 zł
Spoko Pizza Trójmiasto,Druga pizza za 1 zł
Max Premium Burgers Trójmiasto,Frisco burger 12 zł
Max Premium Burgers Trójmiasto,Halloumi burger 13 zł
Paprotka Cafe Warszawa,2 dowolne kawy w cenie 1
Max Premium Burgers Warszawa,Frisco burger 12 zł
Pizza By The Slice Warszawa,Drugi slice za 1 zł
Max Premium Burgers Warszawa,Halloumi burger 13 zł
Krowarzywa Warszawa,Lemoniada gratis
Max Premium Burgers Wrocław,Frisco burger 12 zł
Fc Cafe Wrocław,15% zniżki na kawę
Fc Naleśniki Wrocław,15% zniżki na naleśniki
Max Premium Burgers Wrocław,Halloumi burger 13 zł
